Day,Start Time,End Time,Course,Instructor,Room,Capacity,Lecture ID
Monday,09:00,10:30,C-C001,I-I001,R-R001,30,L001
Monday,10:45,12:15,C-C001,I-I001,R-R002,40,L002
Monday,13:00,14:30,C-C002,I-I002,R-R003,50,L003
Monday,14:45,16:15,C-C002,I-I002,R-R004,60,L004
Monday,14:45,16:15,C-C003,I-I003,R-R005,70,L005
Tuesday,14:45,16:15,C-C003,I-I003,R-R006,80,L006
Tuesday,13:00,14:30,C-C004,I-I004,R-R007,90,L007
Tuesday,14:45,16:15,C-C004,I-I004,R-R008,100,L008
Wednesday,09:00,10:30,C-C005,I-I005,R-R008,100,L009
Monday,09:00,10:30,C-C005,I-I005 ,R-R010,150,L010
